#time	up	down	total
386	0	0	37
387	0	0	37
388	0	0	37
389	0	0	37
390	0	0	37
391	0	0	37
392	0	0	37
393	0	0	37
394	0	0	37
395	0	0	37
396	0	0	37
397	0	0	37
398	0	0	37
399	0	0	37
400	0	0	37
401	0	0	37
402	0	0	37
403	0	0	37
404	0	0	37
405	0	0	37
406	0	0	37
407	0	0	37
408	0	0	37
409	0	0	37
410	0	0	37
411	0	0	37
412	0	0	37
413	0	0	37
414	0	0	37
415	0	0	37
416	0	0	37
417	0	0	37
418	0	0	37
419	0	0	37
420	0	0	37
421	0	0	37
422	0	0	37
423	0	0	37
424	0	0	37
425	0	0	37
426	0	0	37
427	0	0	37
428	0	0	37
429	0	0	37
430	0	0	37
431	0	0	37
432	0	0	37
433	0	0	37
434	0	0	37
435	0	0	37
436	0	0	37
437	0	0	37
438	0	0	37
439	0	0	37
440	0	0	37
441	0	0	37
442	0	0	37
443	0	0	37
444	0	0	37
445	0	0	37
446	0	0	37
447	0	0	37
448	0	0	37
449	0	0	37
450	0	0	37
451	0	0	37
452	0	0	37
453	0	0	37
454	0	0	37
455	0	0	37
456	0	0	37
457	0	0	37
458	0	0	37
459	0	0	37
460	0	0	37
461	0	0	37
462	0	0	37
463	0	0	37
464	0	0	37
465	0	0	37
466	0	0	37
467	0	0	37
468	0	0	37
469	0	0	37
470	0	0	37
471	0	0	37
472	0	0	37
473	0	0	37
474	0	0	37
475	0	0	37
476	0	0	37
477	0	0	37
478	0	0	37
479	0	0	37
480	0	0	37
481	0	0	37
482	0	0	37
483	0	0	37
484	0	0	37
485	0	0	37
486	0	0	37
487	0	0	37
488	0	0	37
489	0	0	37
490	0	0	37
491	0	0	37
492	0	0	37
493	0	0	37
494	0	0	37
495	0	0	37
496	0	0	37
497	0	0	37
498	0	0	37
499	0	0	37
500	0	0	37
501	0	0	37
502	0	0	37
503	0	0	37
504	0	0	37
505	0	0	37
506	0	0	37
507	0	0	37
508	0	0	37
509	0	0	37
510	0	0	37
511	0	0	37
512	0	0	37
513	0	0	37
514	0	0	37
515	0	0	37
516	0	0	37
517	0	0	37
518	0	0	37
519	0	0	37
520	0	0	37
521	0	0	37
522	0	0	37
523	0	0	37
524	0	0	37
525	0	0	37
526	0	0	37
527	0	0	37
528	0	0	37
529	0	0	37
530	0	0	37
531	0	0	37
532	0	0	37
533	0	0	37
534	0	0	37
535	0	0	37
536	0	0	37
537	0	0	37
538	0	0	37
539	0	0	37
540	0	0	37
541	0	0	37
542	0	0	37
543	0	0	37
544	0	0	37
545	0	0	37
546	0	0	37
547	0	0	37
548	0	0	37
549	0	0	37
550	0	0	37
551	0	0	37
552	0	0	37
553	0	0	37
554	0	0	37
555	0	0	37
556	0	0	37
557	0	0	37
558	0	0	37
559	0	0	37
560	0	0	37
561	0	0	37
562	0	0	37
563	0	0	37
564	0	0	37
565	0	0	37
566	0	0	37
567	0	0	37
568	0	0	37
569	0	0	37
570	0	0	37
571	0	0	37
572	0	0	37
573	0	0	37
574	0	0	37
575	0	0	37
576	0	0	37
577	0	0	37
578	0	0	37
579	0	0	37
580	0	0	37
581	0	0	37
582	0	0	37
583	0	0	37
584	0	0	37
585	0	0	37
586	0	0	37
587	0	0	37
588	0	0	37
589	0	0	37
590	0	0	37
591	0	0	37
592	0	0	37
593	0	0	37
594	0	0	37
595	0	0	37
596	0	0	37
597	0	0	37
598	0	0	37
599	0	0	37
600	0	0	37
601	0	0	37
602	0	0	37
603	0	0	37
604	0	0	37
605	0	0	37
606	0	0	37
607	0	0	37
608	0	0	37
609	0	0	37
610	0	1	36
611	0	0	36
612	0	0	36
613	0	0	36
614	0	0	36
615	0	0	36
616	0	0	36
617	0	0	36
618	0	0	36
619	0	0	36
620	0	0	36
621	0	0	36
622	0	0	36
623	0	0	36
624	0	0	36
625	0	0	36
626	0	0	36
627	0	0	36
628	0	0	36
629	0	0	36
630	0	0	36
631	0	0	36
632	0	0	36
633	0	1	35
634	0	0	35
635	0	0	35
636	0	1	34
637	0	0	34
638	0	0	34
639	0	0	34
640	0	0	34
641	0	0	34
642	0	0	34
643	0	0	34
644	0	0	34
645	0	0	34
646	0	0	34
647	0	0	34
648	0	0	34
649	0	0	34
650	0	0	34
651	0	0	34
652	0	0	34
653	0	0	34
654	0	0	34
655	0	0	34
656	0	0	34
657	0	0	34
658	0	0	34
659	0	0	34
660	0	0	34
661	0	0	34
662	0	0	34
663	0	0	34
664	0	0	34
665	0	0	34
666	0	0	34
667	0	0	34
668	0	0	34
669	0	0	34
670	0	0	34
671	0	0	34
672	0	0	34
673	0	0	34
674	0	0	34
675	0	0	34
676	0	0	34
677	0	1	33
678	0	0	33
679	0	0	33
680	0	0	33
681	0	0	33
682	0	0	33
683	0	0	33
684	0	0	33
685	0	0	33
686	0	0	33
687	0	0	33
688	0	0	33
689	0	0	33
690	0	0	33
691	0	0	33
692	0	0	33
693	0	0	33
694	0	0	33
695	0	0	33
696	0	0	33
697	0	0	33
698	0	0	33
699	0	0	33
700	0	0	33
701	0	0	33
702	0	0	33
703	0	0	33
704	0	0	33
705	0	0	33
706	0	0	33
707	0	0	33
708	0	0	33
709	0	0	33
710	0	0	33
711	0	0	33
712	0	0	33
713	0	0	33
714	0	0	33
715	0	0	33
716	0	0	33
717	0	0	33
718	0	0	33
719	0	0	33
720	0	0	33
721	0	0	33
722	0	0	33
723	0	0	33
724	0	0	33
725	0	0	33
726	0	0	33
727	0	0	33
728	0	0	33
729	0	0	33
730	0	0	33
731	0	1	32
732	0	0	32
733	0	0	32
734	0	0	32
735	0	0	32
736	0	0	32
737	0	0	32
738	0	1	31
739	0	0	31
740	0	0	31
741	0	1	30
742	0	0	30
743	0	0	30
744	0	0	30
745	0	0	30
746	0	0	30
747	0	0	30
748	0	0	30
749	0	1	29
750	0	0	29
751	0	0	29
752	0	0	29
753	0	0	29
754	0	0	29
755	0	0	29
756	0	0	29
757	0	0	29
758	0	0	29
759	0	0	29
760	0	1	28
761	8	0	36
762	0	0	36
763	0	0	36
764	8	0	44
765	0	0	44
766	0	1	43
767	0	0	43
768	0	1	42
769	0	0	42
770	0	0	42
771	0	0	42
772	0	0	42
773	1	0	43
774	0	0	43
775	0	0	43
776	0	0	43
777	0	0	43
778	0	0	43
779	0	1	42
780	0	0	42
781	0	0	42
782	0	1	41
783	0	0	41
784	0	0	41
785	0	0	41
786	0	0	41
787	0	0	41
788	0	1	40
789	0	0	40
790	0	0	40
791	0	0	40
792	0	1	39
793	0	0	39
794	0	0	39
795	0	0	39
796	0	0	39
797	0	0	39
798	0	0	39
799	0	0	39
800	0	0	39
801	0	0	39
802	0	0	39
803	0	0	39
804	0	0	39
805	0	0	39
806	0	0	39
807	0	0	39
808	0	0	39
809	0	0	39
810	0	0	39
811	0	0	39
812	0	0	39
813	0	0	39
814	0	0	39
815	0	0	39
816	0	0	39
817	0	1	38
818	0	0	38
819	0	0	38
820	0	0	38
821	0	0	38
822	0	0	38
823	0	0	38
824	0	0	38
825	0	0	38
826	0	0	38
827	0	0	38
828	0	0	38
829	0	0	38
830	0	0	38
831	0	0	38
832	0	0	38
833	0	0	38
834	0	0	38
835	0	0	38
836	0	0	38
837	0	0	38
838	0	0	38
839	0	0	38
840	0	0	38
841	0	0	38
842	0	0	38
843	0	0	38
844	0	0	38
845	0	0	38
846	0	0	38
847	0	0	38
848	0	0	38
849	0	0	38
850	0	0	38
851	0	0	38
852	0	0	38
853	0	0	38
854	0	0	38
855	0	0	38
856	0	0	38
857	0	0	38
858	0	0	38
859	0	0	38
860	0	0	38
861	0	0	38
862	0	0	38
863	0	0	38
864	0	0	38
865	0	0	38
866	0	0	38
867	0	0	38
868	0	0	38
869	0	0	38
870	0	0	38
871	0	0	38
872	0	0	38
873	8	0	46
874	0	0	46
875	0	0	46
876	0	0	46
877	0	0	46
878	0	0	46
879	0	0	46
880	0	0	46
881	0	0	46
882	0	0	46
883	0	0	46
884	0	0	46
885	0	0	46
886	0	0	46
887	0	0	46
888	0	0	46
889	0	0	46
890	0	0	46
891	0	0	46
892	0	0	46
893	0	0	46
894	0	0	46
895	0	0	46
896	0	0	46
897	0	0	46
898	0	0	46
899	0	0	46
900	0	0	46
901	0	0	46
902	0	0	46
903	0	0	46
904	0	0	46
905	0	0	46
906	0	1	45
907	0	0	45
908	0	0	45
909	0	0	45
910	0	0	45
911	0	0	45
912	0	0	45
913	0	0	45
914	0	0	45
915	0	0	45
916	0	0	45
917	0	0	45
918	0	0	45
919	0	0	45
920	0	0	45
921	0	0	45
922	0	0	45
923	0	0	45
924	0	0	45
925	0	0	45
926	0	0	45
927	0	0	45
928	0	0	45
929	0	0	45
930	0	0	45
931	0	2	43
932	0	0	43
933	0	0	43
934	0	0	43
935	0	0	43
936	0	0	43
937	0	1	42
938	0	0	42
939	0	0	42
940	0	0	42
941	0	0	42
942	0	0	42
943	0	1	41
944	0	0	41
945	0	0	41
946	0	0	41
947	0	0	41
948	0	0	41
949	0	0	41
950	0	0	41
951	0	0	41
952	0	0	41
953	0	0	41
954	0	1	40
955	0	0	40
956	0	0	40
957	0	0	40
958	0	1	39
959	0	0	39
960	0	0	39
961	0	0	39
962	0	0	39
963	0	0	39
964	0	0	39
965	0	0	39
966	0	0	39
967	0	1	38
968	0	1	37
969	0	0	37
970	0	0	37
971	0	0	37
972	0	0	37
973	0	0	37
974	0	0	37
975	0	1	36
976	0	0	36
977	0	0	36
978	0	1	35
979	0	0	35
980	0	1	34
981	0	0	34
982	0	0	34
983	0	0	34
984	0	0	34
985	0	0	34
986	0	0	34
987	0	0	34
988	0	0	34
989	0	0	34
990	0	0	34
991	0	0	34
992	0	0	34
993	1	0	35
994	0	0	35
995	0	0	35
996	0	0	35
997	0	0	35
998	0	1	34
999	0	0	34
1000	0	0	34
1001	0	0	34
1002	0	0	34
1003	0	0	34
1004	0	1	33
1005	0	0	33
1006	0	0	33
1007	0	0	33
1008	0	0	33
1009	0	0	33
1010	0	0	33
1011	0	0	33
1012	0	0	33
1013	0	0	33
1014	0	0	33
1015	0	1	32
1016	0	0	32
1017	0	0	32
1018	0	0	32
1019	0	0	32
1020	0	0	32
1021	0	0	32
1022	0	0	32
1023	0	0	32
1024	0	0	32
1025	0	0	32
1026	0	0	32
1027	0	0	32
1028	0	0	32
1029	0	0	32
1030	0	0	32
1031	0	0	32
1032	0	0	32
1033	0	0	32
1034	0	0	32
1035	0	0	32
1036	0	1	31
1037	0	0	31
1038	0	0	31
1039	0	0	31
1040	0	0	31
1041	0	0	31
1042	0	0	31
1043	0	0	31
1044	0	0	31
1045	0	0	31
1046	0	0	31
1047	0	0	31
1048	0	0	31
1049	0	0	31
1050	0	0	31
1051	0	0	31
1052	0	0	31
1053	0	0	31
1054	0	0	31
1055	0	0	31
1056	0	0	31
1057	0	0	31
1058	0	0	31
1059	0	0	31
1060	0	0	31
1061	0	0	31
1062	0	0	31
1063	0	0	31
1064	0	0	31
1065	0	0	31
1066	0	0	31
1067	0	0	31
1068	0	0	31
1069	0	0	31
1070	0	0	31
1071	0	0	31
1072	0	0	31
1073	0	0	31
1074	0	0	31
1075	0	0	31
1076	0	0	31
1077	0	0	31
1078	0	0	31
1079	0	0	31
1080	0	0	31
1081	0	0	31
1082	0	0	31
1083	0	0	31
1084	0	0	31
1085	0	0	31
1086	0	1	30
1087	0	0	30
1088	0	0	30
1089	0	0	30
1090	0	1	29
1091	0	0	29
1092	0	0	29
1093	0	0	29
1094	0	1	28
1095	0	0	28
1096	0	0	28
1097	0	0	28
1098	0	0	28
1099	0	0	28
1100	0	0	28
1101	0	0	28
1102	0	0	28
1103	0	0	28
1104	0	0	28
1105	0	0	28
1106	0	0	28
1107	0	2	26
1108	0	0	26
1109	0	0	26
1110	0	0	26
1111	0	0	26
1112	0	0	26
1113	0	0	26
1114	0	0	26
1115	0	0	26
1116	0	0	26
1117	0	0	26
1118	0	1	25
1119	0	0	25
1120	0	0	25
1121	0	0	25
1122	0	0	25
1123	0	0	25
1124	0	0	25
1125	0	0	25
1126	0	0	25
1127	0	0	25
1128	0	0	25
1129	0	0	25
1130	0	0	25
1131	0	0	25
1132	0	0	25
1133	0	0	25
1134	0	0	25
1135	0	0	25
1136	0	0	25
1137	1	0	26
1138	0	0	26
1139	0	0	26
1140	0	0	26
1141	0	0	26
1142	0	0	26
1143	0	0	26
1144	0	0	26
1145	0	0	26
1146	0	0	26
1147	0	0	26
1148	0	0	26
1149	0	0	26
1150	0	0	26
1151	0	0	26
1152	0	0	26
1153	0	0	26
1154	0	0	26
1155	0	0	26
1156	0	0	26
1157	0	0	26
1158	0	0	26
1159	0	0	26
1160	0	0	26
1161	0	0	26
1162	0	0	26
1163	0	0	26
1164	0	0	26
1165	0	0	26
1166	0	0	26
1167	0	0	26
1168	0	0	26
1169	0	0	26
1170	0	0	26
1171	0	0	26
1172	0	0	26
1173	0	0	26
1174	0	0	26
1175	0	0	26
1176	0	0	26
1177	0	0	26
1178	0	0	26
1179	0	0	26
1180	0	0	26
1181	0	0	26
1182	0	0	26
1183	0	0	26
1184	0	0	26
1185	0	0	26
1186	0	0	26
1187	0	0	26
1188	0	0	26
1189	0	0	26
1190	0	0	26
1191	0	0	26
1192	0	0	26
1193	0	0	26
1194	0	0	26
1195	0	0	26
1196	0	0	26
1197	0	0	26
1198	0	0	26
1199	0	0	26
1200	0	0	26
1201	0	0	26
1202	0	0	26
1203	0	0	26
1204	0	0	26
1205	0	0	26
1206	0	0	26
1207	0	0	26
1208	0	0	26
1209	0	0	26
1210	0	0	26
1211	0	0	26
1212	0	0	26
1213	0	0	26
1214	0	0	26
1215	0	0	26
1216	0	0	26
1217	0	0	26
1218	0	0	26
1219	0	0	26
1220	0	0	26
1221	0	0	26
1222	0	0	26
1223	0	0	26
1224	0	0	26
1225	0	0	26
1226	0	0	26
1227	0	0	26
1228	0	0	26
1229	0	0	26
1230	0	0	26
1231	0	0	26
1232	0	0	26
1233	0	0	26
1234	0	0	26
1235	0	0	26
1236	0	0	26
1237	0	0	26
1238	0	0	26
1239	0	0	26
1240	0	0	26
1241	0	0	26
1242	0	0	26
1243	0	0	26
1244	0	0	26
1245	0	0	26
1246	0	0	26
1247	0	0	26
1248	0	0	26
1249	0	0	26
1250	0	0	26
1251	0	0	26
1252	0	0	26
1253	0	0	26
1254	0	0	26
1255	0	0	26
1256	0	0	26
1257	0	0	26
1258	0	0	26
1259	0	0	26
1260	0	0	26
1261	0	0	26
1262	0	0	26
1263	0	0	26
1264	0	0	26
1265	0	0	26
1266	0	0	26
1267	0	0	26
1268	0	0	26
1269	0	0	26
1270	0	0	26
1271	0	0	26
1272	0	0	26
1273	0	0	26
1274	0	0	26
1275	0	0	26
1276	0	0	26
1277	0	0	26
1278	0	0	26
1279	0	0	26
1280	0	0	26
1281	0	0	26
1282	0	0	26
1283	0	0	26
1284	0	0	26
1285	0	0	26
1286	0	0	26
1287	0	0	26
1288	0	0	26
1289	0	0	26
1290	0	0	26
1291	0	0	26
1292	0	0	26
1293	0	0	26
1294	0	0	26
1295	1	0	27
1296	0	0	27
1297	0	0	27
1298	0	0	27
1299	0	0	27
1300	0	0	27
1301	0	0	27
1302	0	0	27
1303	0	0	27
1304	0	0	27
1305	0	0	27
1306	0	0	27
1307	0	0	27
1308	0	0	27
1309	0	0	27
1310	0	0	27
1311	0	0	27
1312	0	0	27
1313	0	0	27
1314	0	0	27
1315	0	0	27
1316	0	0	27
1317	0	0	27
1318	0	0	27
1319	0	0	27
1320	0	0	27
1321	0	0	27
1322	0	0	27
1323	0	0	27
1324	0	0	27
1325	0	0	27
1326	0	0	27
1327	0	0	27
1328	0	0	27
1329	0	0	27
1330	0	0	27
1331	0	1	26
1332	0	0	26
1333	0	1	25
1334	0	0	25
1335	0	0	25
1336	0	0	25
1337	0	0	25
1338	0	0	25
1339	0	0	25
1340	0	0	25
1341	0	1	24
1342	0	1	23
1343	0	0	23
1344	0	0	23
1345	0	0	23
1346	0	0	23
1347	0	0	23
1348	0	0	23
1349	0	0	23
1350	0	0	23
1351	0	0	23
1352	0	0	23
1353	0	0	23
1354	0	0	23
1355	0	1	22
1356	0	0	22
1357	0	0	22
1358	0	0	22
1359	0	0	22
1360	0	0	22
1361	0	0	22
1362	0	0	22
1363	0	0	22
1364	0	0	22
1365	0	0	22
1366	0	0	22
1367	0	0	22
1368	0	0	22
1369	0	0	22
1370	0	0	22
1371	0	0	22
1372	0	0	22
1373	0	0	22
1374	7	0	29
1375	0	0	29
1376	0	0	29
1377	0	0	29
1378	0	0	29
1379	0	0	29
1380	0	0	29
1381	0	0	29
1382	0	0	29
1383	0	0	29
1384	0	1	28
1385	0	0	28
1386	0	0	28
1387	0	0	28
1388	0	0	28
1389	0	1	27
1390	0	0	27
1391	0	0	27
1392	0	0	27
1393	0	0	27
1394	0	0	27
1395	0	0	27
1396	0	0	27
1397	0	0	27
1398	0	0	27
1399	0	0	27
1400	0	0	27
1401	8	0	35
1402	0	0	35
1403	0	0	35
1404	0	0	35
1405	0	0	35
1406	0	0	35
1407	0	0	35
1408	0	0	35
1409	0	0	35
1410	0	0	35
1411	0	0	35
1412	0	0	35
1413	0	0	35
1414	0	0	35
1415	0	0	35
1416	0	0	35
1417	0	0	35
1418	0	0	35
1419	0	0	35
1420	0	0	35
1421	0	0	35
1422	0	0	35
1423	0	0	35
1424	0	0	35
1425	0	0	35
1426	0	0	35
1427	16	0	51
1428	0	0	51
1429	0	0	51
1430	0	0	51
1431	0	0	51
1432	0	0	51
1433	0	0	51
1434	0	0	51
1435	0	0	51
1436	0	0	51
1437	0	0	51
1438	0	0	51
1439	0	0	51
1440	0	0	51
1441	0	0	51
1442	0	0	51
1443	22	0	73
1444	0	0	73
1445	0	0	73
1446	0	0	73
1447	0	0	73
1448	0	0	73
1449	0	0	73
1450	0	0	73
1451	0	0	73
1452	0	0	73
1453	0	0	73
1454	0	0	73
1455	0	0	73
1456	0	0	73
1457	0	0	73
1458	0	0	73
1459	0	0	73
1460	0	0	73
1461	0	0	73
1462	0	0	73
1463	0	0	73
1464	0	0	73
1465	0	0	73
1466	0	0	73
1467	0	0	73
1468	0	0	73
1469	0	0	73
1470	0	0	73
1471	0	0	73
1472	0	1	72
1473	0	0	72
1474	0	0	72
1475	0	1	71
1476	0	0	71
1477	0	0	71
1478	0	0	71
1479	0	0	71
1480	0	0	71
1481	0	0	71
1482	0	0	71
1483	0	0	71
1484	0	0	71
1485	0	0	71
1486	0	0	71
1487	0	0	71
1488	0	0	71
1489	0	1	70
1490	0	0	70
1491	0	0	70
1492	0	0	70
1493	0	0	70
1494	0	0	70
1495	0	0	70
1496	0	0	70
1497	0	0	70
1498	0	0	70
1499	0	0	70
1500	0	0	70
1501	0	0	70
1502	0	0	70
1503	0	0	70
1504	0	0	70
1505	0	0	70
1506	0	0	70
1507	0	0	70
1508	0	0	70
1509	0	0	70
1510	0	0	70
1511	0	0	70
1512	0	0	70
1513	0	0	70
1514	0	0	70
1515	0	0	70
1516	0	0	70
1517	0	0	70
1518	0	0	70
1519	0	0	70
1520	0	0	70
1521	0	0	70
1522	0	0	70
1523	0	0	70
1524	0	0	70
1525	0	0	70
1526	0	0	70
1527	0	0	70
1528	0	0	70
1529	0	0	70
1530	0	0	70
1531	0	0	70
1532	0	0	70
1533	0	0	70
1534	0	0	70
1535	0	0	70
1536	0	0	70
1537	0	0	70
1538	0	0	70
1539	0	0	70
1540	0	0	70
1541	0	0	70
1542	0	0	70
1543	0	0	70
1544	0	0	70
1545	0	0	70
1546	0	0	70
1547	0	0	70
1548	0	0	70
1549	0	0	70
1550	0	0	70
1551	0	0	70
1552	0	0	70
1553	0	0	70
1554	0	0	70
1555	0	0	70
1556	0	0	70
1557	0	0	70
1558	0	0	70
1559	0	0	70
1560	0	0	70
1561	0	0	70
1562	0	0	70
1563	0	0	70
1564	0	0	70
1565	0	0	70
1566	0	0	70
1567	0	0	70
1568	0	0	70
1569	0	0	70
1570	0	0	70
1571	0	0	70
1572	0	0	70
1573	0	0	70
1574	0	0	70
1575	3	0	73
1576	0	0	73
1577	0	1	72
1578	0	0	72
1579	0	0	72
1580	0	0	72
1581	0	0	72
1582	0	0	72
1583	0	0	72
1584	0	0	72
1585	0	0	72
1586	0	0	72
1587	0	0	72
1588	0	0	72
1589	0	0	72
1590	0	0	72
1591	0	0	72
1592	0	0	72
1593	0	1	71
1594	0	0	71
1595	0	0	71
1596	0	0	71
1597	0	0	71
1598	0	0	71
1599	0	0	71
1600	0	0	71
1601	0	0	71
1602	12	0	83
1603	0	0	83
1604	0	1	82
1605	0	0	82
1606	0	0	82
1607	0	0	82
1608	0	0	82
1609	0	0	82
1610	0	0	82
1611	0	0	82
1612	0	0	82
1613	0	0	82
1614	0	0	82
1615	0	0	82
1616	0	0	82
1617	0	0	82
1618	0	0	82
1619	0	0	82
1620	0	0	82
1621	0	0	82
1622	0	0	82
1623	0	0	82
1624	0	0	82
1625	0	0	82
1626	0	0	82
1627	0	0	82
1628	0	0	82
1629	0	0	82
1630	0	0	82
1631	0	0	82
1632	0	0	82
1633	0	0	82
1634	0	0	82
1635	0	0	82
1636	0	0	82
1637	1	0	83
1638	0	0	83
1639	0	0	83
1640	0	0	83
1641	0	0	83
1642	0	0	83
1643	0	0	83
1644	0	0	83
1645	0	0	83
1646	0	0	83
1647	0	0	83
1648	0	0	83
1649	0	0	83
1650	0	0	83
1651	0	0	83
1652	0	0	83
1653	0	0	83
1654	0	0	83
1655	0	1	82
1656	0	0	82
1657	0	0	82
1658	0	0	82
1659	0	0	82
1660	0	0	82
1661	0	0	82
1662	0	0	82
1663	0	0	82
